Route_id,Event_list,Route_desc,Direc,Pair_id,Express_service
1,,WorcesterToSouthStation,1,2,0
2,"BS-7,SS-1,SS-2,SS-3,SS-37,SS-4,SS-38,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,SS-17,SS-39,SS-18",SouthStationToWorcester,0,1,0
3,,InboundNewtonSkip,1,4,0
4,,OutboundNewtonSkip,0,3,0
5,,FraminghamToSouthStation,1,6,0
6,"BS-7,SS-1,SS-2,SS-3,SS-37,SS-4,SS-38,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13",SouthStationToFramingham,0,5,0
7,,SkipNatickCenterThroughNewtonville,1,8,0
8,"BS-7,SS-1,SS-2,SS-3,SS-37,SS-13,SS-14,SS-15,SS-16,SS-17,SS-39,SS-18",SkipNewtonvilleThroughNatickCenter,0,7,0
9,,FraminghamToSouthStationNewtonSkip,1,10,0
10,,SouthStationToFraminghamNewtonSkip,0,9,0
11,,InboundHeartToHub_BL,1,12,0
12,"BS-7,SS-1,SS-2,SS-3,SS-37,SS-13,SS-18",OutboundHeartToHub_BL,0,11,0
13,,InnerCoreInbound,1,14,0
14,,InnerCoreOutbound,0,13,0
17,,InboundHeartToHub,1,18,1
18,,OutboundHeartToHub,0,17,1
19,,WorcesterXpressInbound,1,20,1
20,,WorcesterXpressOutbound,0,19,1
21,,SkipNatickCenterThroughBL,1,22,0
22,,SkipBLThroughNatickCenter,0,21,0
23,,SkipWellesleySquareThroughBL,1,24,0
24,,SkipBLThroughWellesleySquare,0,23,0
25,,LocalFromAshland,1,26,0
26,,LocalToAshland,0,25,0
27,,LocalFromAshlandSkipNewton,1,28,0
28,,LocalToAshlandSkipNewton,0,27,0
29,,SkipWestNatickThroughNewtonville,1,30,0
30,,SkipNewtonvilleThroughWestNatick,0,29,0
31,,WorcesterToSouthStationSkipBostonLanding,1,32,0
32,,SouthStationToWorcesterSkipBostonLanding,0,31,0
33,,InboundNewtonSkipBostonLanding,1,34,0
34,,OutboundNewtonSkipBostonLanding,0,33,0
35,,FraminghamToSouthStationSkipBostonLanding,1,36,0
36,,SouthStationToFraminghamSkipBostonLanding,0,35,0
37,,FraminghamToSouthStationNewtonSkipBostonLanding,1,38,0
38,,SouthStationToFraminghamNewtonSkipBostonLanding,0,37,0
39,,LSL_IB,1,40,0
40,,LSL_OB,0,39,0
