Vehicle_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,15300,95000,0,2,1
2,18000,95000,0,2,7
3,21300,95000,0,2,5
4,21600,95000,0,2,7
5,23400,95000,0,2,11
6,25500,95000,0,2,5
7,25200,95000,0,2,7
8,28800,95000,0,2,5
9,28800,95000,0,2,1
10,32400,95000,0,2,1
11,36000,95000,0,2,1
12,39600,95000,0,2,3
13,43200,95000,0,2,1
14,47100,95000,0,2,3
15,50400,95000,0,2,3
16,54000,95000,0,2,3
17,57600,95000,0,2,3
18,61800,95000,0,2,9
19,61200,95000,0,2,3
20,64200,95000,0,2,3
21,69000,95000,0,2,5
22,68400,95000,0,2,3
23,73500,95000,0,2,1
24,77100,95000,0,2,3
25,80700,95000,0,2,3
26,17100,95000,0,2,4
27,21300,95000,0,2,4
28,24900,95000,0,2,4
29,28200,95000,0,2,4
30,31800,95000,0,2,4
31,35400,95000,0,2,4
32,39000,95000,0,2,4
33,42300,95000,0,2,2
34,46500,95000,0,2,4
35,49500,95000,0,2,2
36,53400,95000,0,2,2
37,56100,95000,0,2,6
38,57900,95000,0,2,8
39,59100,95000,0,2,6
40,60900,95000,0,2,12
41,61500,95000,0,2,8
42,63300,95000,0,2,6
43,65100,95000,0,2,8
44,66900,95000,0,2,2
45,70500,95000,0,2,2
46,74100,95000,0,2,2
47,79500,95000,0,2,2
48,83100,95000,0,2,2
